frame,left_knee_flexion,right_knee_flexion,left_hip_flexion,right_hip_flexion,left_ankle_flexion,right_ankle_flexion
0,153.64082,159.22566,169.15936,156.57742,83.61856,82.50577
1,122.37662,158.9002,164.82414,130.53748,106.82388,115.01199
2,126.557785,174.451,159.53333,179.56793,95.96444,116.6083
3,174.66333,152.94672,176.08337,161.82938,111.023224,132.08904
4,147.49394,171.7643,169.12169,171.71284,97.41104,97.88587
5,144.92943,128.77644,160.96994,172.74176,101.927414,60.6173
6,137.8777,161.76143,163.24998,152.21628,134.60948,93.21065
7,173.28743,172.30013,177.78061,177.08469,83.67345,71.40419
8,171.13235,166.6208,167.11716,176.20914,85.03954,116.1419
9,129.81914,168.4331,177.97366,173.6392,38.198025,114.577126
10,130.76183,168.75493,178.00697,177.04361,134.65265,70.914635
11,177.69775,140.27086,145.35391,175.4145,110.35635,51.23456
12,179.67015,152.65878,159.92297,178.55017,108.55767,81.643005
13,133.89508,149.54352,171.16817,176.39157,57.60417,60.023624
14,172.30186,142.58344,175.83824,174.41425,114.49619,91.50983
15,160.82008,138.68448,154.52606,178.86719,108.26675,95.12203
16,175.54236,152.9556,174.06136,168.94746,116.932,119.78639
17,147.30757,120.107475,136.43811,134.44609,89.81438,130.85056
18,153.83908,121.758575,148.70964,163.98573,92.65695,129.21472
19,160.92455,124.762276,168.3988,166.45222,85.92949,129.85527
20,160.29787,129.93286,168.8226,167.38786,81.49604,117.664444
21,162.01483,146.70686,171.0298,172.33946,84.452644,102.689804
22,155.874,161.13644,164.03415,144.39565,83.642006,105.96845
23,144.83015,161.61813,146.10518,169.0973,81.96851,105.877655
24,177.5665,138.44225,176.44896,154.10231,92.455414,109.280975
25,171.2308,148.38205,172.30307,154.39096,88.4583,113.74051
26,171.92004,154.68398,177.11778,152.13075,84.38835,108.79903
27,168.79092,160.88782,178.20996,153.10835,80.35051,100.494545
28,166.95195,164.61304,178.7892,152.6803,78.36632,97.16435
29,165.44101,169.92278,179.3213,154.50404,75.56746,93.27637
30,165.96584,169.31667,178.24988,154.39491,75.74672,93.66594
31,166.52077,166.3266,176.60977,154.9941,77.807976,100.974434
32,161.14487,166.84483,179.7383,159.17657,78.01435,99.198845
33,158.32797,164.82169,178.68983,160.55846,84.03737,102.48249
34,151.24338,163.70195,177.67256,161.75513,87.4746,102.005936
35,144.08316,162.92001,170.94194,162.78862,98.50128,100.5437
36,142.91092,164.59453,177.03693,162.86156,110.310524,101.89144
37,138.52899,162.56097,177.61172,164.57004,120.822075,98.69009
38,127.16178,168.6796,168.48637,168.63782,120.75815,99.86799
39,121.33393,170.72404,162.69458,171.45715,113.52834,102.076126
40,122.40553,172.66605,158.78745,169.10403,117.4479,101.2628
41,123.39403,172.12852,149.15121,170.11972,108.21156,113.47017
42,135.7643,168.6662,163.31859,172.37769,110.554276,108.089806
43,127.572945,168.30856,144.2462,172.97995,94.045044,111.598526
44,140.87253,164.474,144.61342,170.11877,101.08286,99.944214
45,165.51425,164.16374,170.37056,168.45992,99.30268,97.813965
46,175.46635,163.91873,172.90726,171.65553,93.440414,90.93492
47,177.35638,164.5093,173.967,175.40398,94.20946,91.317375
48,171.72676,164.09152,171.09149,174.56587,96.56182,91.40237
49,169.64912,162.15529,166.7359,171.36934,89.41623,87.57252
50,170.7991,162.20865,167.10612,174.96614,90.22816,85.71365
